rouge-1,rouge-l,Average-1,Average-L
0.35514011,0.280373771,0.366434244,0.342944333
0,0,0.366434244,0.342944333
1.096153768,0.576923015,0.366434244,0.342944333
0,0,0.366434244,0.342944333
0.379999912,0.299999931,0.366434244,0.342944333
0,0,0.366434244,0.342944333
0.306451526,0.241935415,0.366434244,0.342944333
0.710280288,0.560747596,0.366434244,0.342944333
0.383838312,0.303030246,0.366434244,0.342944333
0,0,0.366434244,0.342944333
0.376237544,0.29702964,0.366434244,0.342944333
0.39999993,0.315789419,0.366434244,0.342944333
0,0,0.366434244,0.342944333
0.666666579,0.52631572,0.366434244,0.342944333
0.457831266,0.361445736,0.366434244,0.342944333
0.322033811,0.254237219,0.366434244,0.342944333
0.339285637,0.267857082,0.366434244,0.342944333
0,0,0.366434244,0.342944333
0,0,0.366434244,0.342944333
0.342342264,0.270270209,0.366434244,0.342944333
0.723809446,0.57142851,0.366434244,0.342944333
0.66666658,0.526315721,0.366434244,0.342944333
0.638655382,0.504201617,0.366434244,0.342944333
0,0,0.366434244,0.342944333
0.404255247,0.319148879,0.366434244,0.342944333
1.008849472,0.796460109,0.366434244,0.342944333
0,0,0.366434244,0.342944333
0,0,0.366434244,0.342944333
0,0,0.366434244,0.342944333
0,0,0.366434244,0.342944333
0,0,0.366434244,0.342944333
0.365384528,0.28846147,0.366434244,0.342944333
0,0,0.366434244,0.342944333
0,0,0.366434244,0.342944333
0.716981058,0.566037678,0.366434244,0.342944333
1.036363552,0.818181751,0.366434244,0.342944333
0.355140112,0.280373773,0.366434244,0.342944333
0.342342263,0.270270208,0.366434244,0.342944333
0.361904684,0.285714224,0.366434244,0.342944333
0.808510566,0.638297815,0.366434244,0.342944333
0.408602089,0.322580596,0.366434244,0.342944333
0.622950732,0.49180321,0.366434244,0.342944333
0,0,0.366434244,0.342944333
0,0,0.366434244,0.342944333
0,0,0.366434244,0.342944333
0.36538455,0.288461487,0.366434244,0.342944333
0.690909026,0.545454494,0.366434244,0.342944333
0,0,0.366434244,0.342944333
0,0,0.366434244,0.342944333
0,0,0.366434244,0.342944333
0,0,0.366434244,0.342944333
0.299212515,0.236220407,0.366434244,0.342944333
0.379999919,0.299999936,0.366434244,0.342944333
0,0,0.366434244,0.342944333
0.413043409,0.326086902,0.366434244,0.342944333
0.355140127,0.280373784,0.366434244,0.342944333
0,0,0.366434244,0.342944333
0,0,0.366434244,0.342944333
0.737863995,0.582524207,0.366434244,0.342944333
0,0,0.366434244,0.342944333
0.339285625,0.267857073,0.366434244,0.342944333
0.441860395,0.348837154,0.366434244,0.342944333
0.391752501,0.30927829,0.366434244,0.342944333
0,0,0.366434244,0.342944333
0.351851762,0.277777706,0.366434244,0.342944333
0,0,0.366434244,0.342944333
1.09615376,0.865384547,0.366434244,0.342944333
0.404255263,0.319148892,0.366434244,0.342944333
0.383838298,0.303030235,0.366434244,0.342944333
0.690909022,0.545454491,0.366434244,0.342944333
0,0,0.366434244,0.342944333
0,0,0.366434244,0.342944333
0,0,0.366434244,0.342944333
0.345454479,0.27272722,0.366434244,0.342944333
0,0,0.366434244,0.342944333
0.342342256,0.270270202,0.366434244,0.342944333
0.379999925,0.299999941,0.366434244,0.342944333
0.319327645,0.252100773,0.366434244,0.342944333
0.808510554,0.638297806,0.366434244,0.342944333
0,0,0.366434244,0.342944333
0.999999917,0.526315724,0.366434244,0.342944333
0,0,0.366434244,0.342944333
0,0,0.366434244,0.342944333
0.345454485,0.272727225,0.366434244,0.342944333
0.67857135,0.535714223,0.366434244,0.342944333
0,0,0.366434244,0.342944333
0,0,0.366434244,0.342944333
0.44705876,0.352941126,0.366434244,0.342944333
0,0,0.366434244,0.342944333
0,0,0.366434244,0.342944333
0.775510142,0.612244849,0.366434244,0.342944333
0.77551014,0.612244847,0.366434244,0.342944333
0,0,0.366434244,0.342944333
0.365384546,0.288461484,0.366434244,0.342944333
0,0,0.366434244,0.342944333
0.355140113,0.280373774,0.366434244,0.342944333
1.394495344,1.100917377,0.366434244,0.342944333
0.330434708,0.260869506,0.366434244,0.342944333
0,0,0.366434244,0.342944333
0,0,0.366434244,0.342944333
0,0,0.366434244,0.342944333
0.737863992,0.582524205,0.366434244,0.342944333
0.873563149,0.689655117,0.366434244,0.342944333
0.678571346,0.53571422,0.366434244,0.342944333
0,0,0.366434244,0.342944333
0.342342263,0.270270208,0.366434244,0.342944333
0.612903145,0.483870904,0.366434244,0.342944333
0,0,0.366434244,0.342944333
0.387755036,0.306122397,0.366434244,0.342944333
0.348623784,0.275229303,0.366434244,0.342944333
0,0,0.366434244,0.342944333
0,0,0.366434244,0.342944333
0,0,0.366434244,0.342944333
0.426966214,0.33707859,0.366434244,0.342944333
0.716981049,0.283018803,0.366434244,0.342944333
0.638655387,0.252100781,0.366434244,0.342944333
0,0,0.366434244,0.342944333
0.319327645,0.252100773,0.366434244,0.342944333
0,0,0.366434244,0.342944333
0,0,0.366434244,0.342944333
0.348623767,0.27522929,0.366434244,0.342944333
0.387755034,0.306122395,0.366434244,0.342944333
0,0,0.366434244,0.342944333
0.863636297,0.681818129,0.366434244,0.342944333
0,0,0.366434244,0.342944333
0,0,0.366434244,0.342944333
0.342342271,0.270270214,0.366434244,0.342944333
0.330434695,0.260869496,0.366434244,0.342944333
0.391752513,0.3092783,0.366434244,0.342944333
0.775510136,0.612244844,0.366434244,0.342944333
0,0,0.366434244,0.342944333
0,0,0.366434244,0.342944333
0.775510128,0.612244838,0.366434244,0.342944333
0,0,0.366434244,0.342944333
0,0,0.366434244,0.342944333
