rouge-1,rouge-l,Average-1,Average-L
0,0,0.381291194,0.363535586
0.209424025,0.16753922,0.381291194,0.363535586
0.621761606,0.497409284,0.381291194,0.363535586
0,0,0.381291194,0.363535586
0.289854995,0.231883996,0.381291194,0.363535586
0,0,0.381291194,0.363535586
0.695652112,0.417391255,0.381291194,0.363535586
0.227272661,0.181818129,0.381291194,0.363535586
0,0,0.381291194,0.363535586
0.224719065,0.179775252,0.381291194,0.363535586
0,0,0.381291194,0.363535586
0,0,0.381291194,0.363535586
0,0,0.381291194,0.363535586
0.2061855,0.1649484,0.381291194,0.363535586
0.266666629,0.213333303,0.381291194,0.363535586
0.427807417,0.342245934,0.381291194,0.363535586
0.406091316,0.324873053,0.381291194,0.363535586
0.217391232,0.173912985,0.381291194,0.363535586
0.287769723,0.230215779,0.381291194,0.363535586
0.484848422,0.387878738,0.381291194,0.363535586
0,0,0.381291194,0.363535586
0.816326466,0.489795866,0.381291194,0.363535586
0.437158407,0.349726725,0.381291194,0.363535586
0.379146869,0.303317495,0.381291194,0.363535586
0.592592534,0.474074027,0.381291194,0.363535586
0,0,0.381291194,0.363535586
0.205128165,0.164102532,0.381291194,0.363535586
0.242424204,0.193939363,0.381291194,0.363535586
0.258064467,0.206451574,0.381291194,0.363535586
0,0,0.381291194,0.363535586
0.220994406,0.176795525,0.381291194,0.363535586
0.499999929,0.399999943,0.381291194,0.363535586
0.268456337,0.21476507,0.381291194,0.363535586
0,0,0.381291194,0.363535586
0.462427691,0.184971055,0.381291194,0.363535586
0,0,0.381291194,0.363535586
0.239520901,0.191616721,0.381291194,0.363535586
0.388349461,0.310679569,0.381291194,0.363535586
0,0,0.381291194,0.363535586
0.919540182,0.367816054,0.381291194,0.363535586
0.479041876,0.383233501,0.381291194,0.363535586
0.780487737,0.62439019,0.381291194,0.363535586
0,0,0.381291194,0.363535586
0,0,0.381291194,0.363535586
0.333333276,0.26666662,0.381291194,0.363535586
0.217391261,0.173913008,0.381291194,0.363535586
0.231213825,0.18497106,0.381291194,0.363535586
0.2531645,0.2025316,0.381291194,0.363535586
