rouge-1,rouge-l,Average-1,Average-L
0,0,0.352316952,0.328704286
0.626086907,0.495652134,0.352316952,0.328704286
0.410256364,0.162393126,0.352316952,0.328704286
0.666666614,0.527777736,0.352316952,0.328704286
0.666666613,0.527777736,0.352316952,0.328704286
0,0,0.352316952,0.328704286
0.51798556,0.410071901,0.352316952,0.328704286
0.637168089,0.504424737,0.352316952,0.328704286
0.444444402,0.351851818,0.352316952,0.328704286
0,0,0.352316952,0.328704286
0.470588185,0.37254898,0.352316952,0.328704286
0.403361307,0.319327701,0.352316952,0.328704286
0.190476153,0.150793621,0.352316952,0.328704286
0.571428519,0.452380911,0.352316952,0.328704286
0.224299035,0.177570069,0.352316952,0.328704286
0.529411713,0.419117607,0.352316952,0.328704286
0.167832126,0.1328671,0.352316952,0.328704286
0.761904707,0.60317456,0.352316952,0.328704286
0.186046473,0.147286791,0.352316952,0.328704286
0.432432383,0.342342303,0.352316952,0.328704286
0.224299017,0.177570055,0.352316952,0.328704286
0.377952704,0.299212557,0.352316952,0.328704286
0.537313386,0.425373097,0.352316952,0.328704286
0.210526268,0.166666629,0.352316952,0.328704286
0.499999955,0.395833298,0.352316952,0.328704286
0.620689602,0.491379268,0.352316952,0.328704286
0.214285676,0.169642827,0.352316952,0.328704286
0.742268005,0.587628837,0.352316952,0.328704286
0.237623721,0.18811878,0.352316952,0.328704286
0.21052628,0.166666638,0.352316952,0.328704286
0.342857094,0.271428533,0.352316952,0.328704286
0.190476141,0.150793611,0.352316952,0.328704286
0.23762373,0.188118787,0.352316952,0.328704286
0.578313208,0.457831289,0.352316952,0.328704286
0.239999952,0.189999962,0.352316952,0.328704286
0.399999949,0.316666626,0.352316952,0.328704286
0.23300966,0.184465981,0.352316952,0.328704286
0.195121904,0.154471507,0.352316952,0.328704286
0.45283014,0.358490527,0.352316952,0.328704286
0,0,0.352316952,0.328704286
0.452830153,0.358490538,0.352316952,0.328704286
0.157894687,0.124999961,0.352316952,0.328704286
0.216216179,0.171171142,0.352316952,0.328704286
0.206896503,0.163793065,0.352316952,0.328704286
0.249999959,0.197916634,0.352316952,0.328704286
0,0,0.352316952,0.328704286
0.452830147,0.358490533,0.352316952,0.328704286
0.222222177,0.17592589,0.352316952,0.328704286
0.175182441,0.138686099,0.352316952,0.328704286
0,0,0.352316952,0.328704286
0.390243859,0.308943055,0.352316952,0.328704286
0.558139483,0.441860424,0.352316952,0.328704286
0.479999949,0.379999959,0.352316952,0.328704286
0,0,0.352316952,0.328704286
0,0,0.352316952,0.328704286
0,0,0.352316952,0.328704286
0.599999948,0.474999959,0.352316952,0.328704286
0.403361295,0.319327692,0.352316952,0.328704286
0.83478256,0.495652135,0.352316952,0.328704286
0,0,0.352316952,0.328704286
0.732824375,0.58015263,0.352316952,0.328704286
0.212389344,0.168141564,0.352316952,0.328704286
0.424778717,0.336283151,0.352316952,0.328704286
0.237623719,0.188118777,0.352316952,0.328704286
0.199999945,0.15833329,0.352316952,0.328704286
0.212389337,0.168141558,0.352316952,0.328704286
0.507042208,0.401408415,0.352316952,0.328704286
0,0,0.352316952,0.328704286
0,0,0.352316952,0.328704286
0.428571386,0.33928568,0.352316952,0.328704286
0.244897925,0.193877524,0.352316952,0.328704286
0.230769189,0.182692275,0.352316952,0.328704286
0.230769182,0.182692269,0.352316952,0.328704286
0.228571385,0.180952346,0.352316952,0.328704286
0,0,0.352316952,0.328704286
0.216216162,0.171171128,0.352316952,0.328704286
0.244897911,0.193877513,0.352316952,0.328704286
0.580645108,0.306451571,0.352316952,0.328704286
0.432432384,0.342342304,0.352316952,0.328704286
0.461538422,0.365384584,0.352316952,0.328704286
0.585365803,0.463414594,0.352316952,0.328704286
0,0,0.352316952,0.328704286
0.173912994,0.13768112,0.352316952,0.328704286
0.380952346,0.301587274,0.352316952,0.328704286
0.355555511,0.281481446,0.352316952,0.328704286
0.529411716,0.419117608,0.352316952,0.328704286
0.175182434,0.138686094,0.352316952,0.328704286
0.403361314,0.319327707,0.352316952,0.328704286
0.22222217,0.175925885,0.352316952,0.328704286
0.727272689,0.575757545,0.352316952,0.328704286
0.345323711,0.273381272,0.352316952,0.328704286
0.448598093,0.355140157,0.352316952,0.328704286
0,0,0.352316952,0.328704286
0.20338979,0.161016917,0.352316952,0.328704286
0.230769192,0.182692277,0.352316952,0.328704286
0.196721269,0.155737671,0.352316952,0.328704286
0.61016945,0.483050815,0.352316952,0.328704286
0.406779615,0.322033862,0.352316952,0.328704286
0,0,0.352316952,0.328704286
0,0,0.352316952,0.328704286
0.222222172,0.175925886,0.352316952,0.328704286
0.369230722,0.292307655,0.352316952,0.328704286
0,0,0.352316952,0.328704286
0.436363584,0.345454504,0.352316952,0.328704286
0,0,0.352316952,0.328704286
0.387096727,0.306451576,0.352316952,0.328704286
1.16666662,0.923611074,0.352316952,0.328704286
0,0,0.352316952,0.328704286
0.212389343,0.168141563,0.352316952,0.328704286
0.38399996,0.303999969,0.352316952,0.328704286
0.499999956,0.395833299,0.352316952,0.328704286
0.206896508,0.163793069,0.352316952,0.328704286
