rouge-1,rouge-l,Average-1,Average-L
0,0,0.397494344,0.366294128
0.367567517,0.302702661,0.397494344,0.366294128
0.57303366,0.471910073,0.397494344,0.366294128
0.269841202,0.222222166,0.397494344,0.366294128
0,0,0.397494344,0.366294128
0,0,0.397494344,0.366294128
0.768361518,0.474576219,0.397494344,0.366294128
0.22222216,0.183006485,0.397494344,0.366294128
0,0,0.397494344,0.366294128
0,0,0.397494344,0.366294128
0.489208576,0.40287765,0.397494344,0.366294128
0,0,0.397494344,0.366294128
0,0,0.397494344,0.366294128
0.193181757,0.159090859,0.397494344,0.366294128
0,0,0.397494344,0.366294128
0.589595313,0.485549081,0.397494344,0.366294128
0.375690558,0.309392224,0.397494344,0.366294128
0,0,0.397494344,0.366294128
0.641509387,0.528301848,0.397494344,0.366294128
0.265624936,0.218749948,0.397494344,0.366294128
0.194285666,0.15999996,0.397494344,0.366294128
0,0,0.397494344,0.366294128
0.201183375,0.165680426,0.397494344,0.366294128
0,0,0.397494344,0.366294128
0,0,0.397494344,0.366294128
0,0,0.397494344,0.366294128
0.234482715,0.193103412,0.397494344,0.366294128
0.20731704,0.17073168,0.397494344,0.366294128
0.204819238,0.168674667,0.397494344,0.366294128
0,0,0.397494344,0.366294128
0.331707264,0.273170688,0.397494344,0.366294128
0.397660761,0.327485333,0.397494344,0.366294128
0.404761875,0.333333309,0.397494344,0.366294128
0,0,0.397494344,0.366294128
0.222222171,0.183006494,0.397494344,0.366294128
0.259541916,0.213740401,0.397494344,0.366294128
0.523076864,0.430769182,0.397494344,0.366294128
0,0,0.397494344,0.366294128
0,0,0.397494344,0.366294128
0,0,0.397494344,0.366294128
0,0,0.397494344,0.366294128
0.563535849,0.309392214,0.397494344,0.366294128
0.255639053,0.210526279,0.397494344,0.366294128
0,0,0.397494344,0.366294128
0,0,0.397494344,0.366294128
0.237762192,0.195804158,0.397494344,0.366294128
0,0,0.397494344,0.366294128
0,0,0.397494344,0.366294128
0.369565171,0.304347788,0.397494344,0.366294128
0.234482717,0.193103414,0.397494344,0.366294128
0.237762183,0.195804151,0.397494344,0.366294128
0,0,0.397494344,0.366294128
0.206060554,0.169696927,0.397494344,0.366294128
0,0,0.397494344,0.366294128
0,0,0.397494344,0.366294128
0,0,0.397494344,0.366294128
0.450331062,0.370860874,0.397494344,0.366294128
0,0,0.397494344,0.366294128
0.43870962,0.361290276,0.397494344,0.366294128
0.177083294,0.145833301,0.397494344,0.366294128
0.551351292,0.151351302,0.397494344,0.366294128
0,0,0.397494344,0.366294128
0.197674374,0.162790661,0.397494344,0.366294128
0,0,0.397494344,0.366294128
0.239436549,0.19718304,0.397494344,0.366294128
0,0,0.397494344,0.366294128
0.485714221,0.399999947,0.397494344,0.366294128
0,0,0.397494344,0.366294128
0.263565825,0.217054209,0.397494344,0.366294128
0.257575704,0.212121168,0.397494344,0.366294128
0,0,0.397494344,0.366294128
0,0,0.397494344,0.366294128
0.274193486,0.2258064,0.397494344,0.366294128
0,0,0.397494344,0.366294128
0,0,0.397494344,0.366294128
0,0,0.397494344,0.366294128
0,0,0.397494344,0.366294128
0.198830347,0.163742639,0.397494344,0.366294128
0.222222167,0.183006491,0.397494344,0.366294128
0.352331572,0.290155412,0.397494344,0.366294128
0.633540312,0.347826037,0.397494344,0.366294128
0.22368417,0.184210493,0.397494344,0.366294128
0.193181758,0.15909086,0.397494344,0.366294128
0,0,0.397494344,0.366294128
0.350515416,0.288659754,0.397494344,0.366294128
0,0,0.397494344,0.366294128
0.348717896,0.287179444,0.397494344,0.366294128
0,0,0.397494344,0.366294128
0,0,0.397494344,0.366294128
0,0,0.397494344,0.366294128
0,0,0.397494344,0.366294128
0.259541939,0.21374042,0.397494344,0.366294128
0,0,0.397494344,0.366294128
0.6107784,0.502993976,0.397494344,0.366294128
0.43312098,0.356687866,0.397494344,0.366294128
0.229729678,0.189189146,0.397494344,0.366294128
0.690355291,0.426395907,0.397494344,0.366294128
0.435897382,0.179487135,0.397494344,0.366294128
0,0,0.397494344,0.366294128
0.424999955,0.349999963,0.397494344,0.366294128
0,0,0.397494344,0.366294128
0.343434294,0.282828242,0.397494344,0.366294128
0.22368417,0.184210493,0.397494344,0.366294128
0.433120959,0.356687849,0.397494344,0.366294128
0.244604271,0.201438812,0.397494344,0.366294128
0.183783734,0.15135131,0.397494344,0.366294128
0.16831678,0.138613819,0.397494344,0.366294128
0.177083285,0.145833293,0.397494344,0.366294128
0,0,0.397494344,0.366294128
0.192090353,0.158192055,0.397494344,0.366294128
0,0,0.397494344,0.366294128
0,0,0.397494344,0.366294128
0.548387059,0.451612872,0.397494344,0.366294128
0,0,0.397494344,0.366294128
0.441558383,0.363636315,0.397494344,0.366294128
0.216560454,0.178343904,0.397494344,0.366294128
0.259541926,0.21374041,0.397494344,0.366294128
0.735135076,0.605405357,0.397494344,0.366294128
0.373626342,0.307692282,0.397494344,0.366294128
0.365591349,0.301075229,0.397494344,0.366294128
0,0,0.397494344,0.366294128
0,0,0.397494344,0.366294128
0,0,0.397494344,0.366294128
0,0,0.397494344,0.366294128
0,0,0.397494344,0.366294128
0.18784527,0.154696105,0.397494344,0.366294128
0,0,0.397494344,0.366294128
0.179894121,0.1481481,0.397494344,0.366294128
0.379888233,0.312849133,0.397494344,0.366294128
0.404761865,0.3333333,0.397494344,0.366294128
0.623853139,0.513761409,0.397494344,0.366294128
0.201183374,0.165680425,0.397494344,0.366294128
0,0,0.397494344,0.366294128
0,0,0.397494344,0.366294128
0,0,0.397494344,0.366294128
0.369565162,0.30434778,0.397494344,0.366294128
0,0,0.397494344,0.366294128
0.203592757,0.167664623,0.397494344,0.366294128
0,0,0.397494344,0.366294128
0.599999944,0.494117601,0.397494344,0.366294128
0.330097025,0.271844609,0.397494344,0.366294128
0.38636359,0.31818178,0.397494344,0.366294128
0.382022423,0.314606701,0.397494344,0.366294128
0.18888883,0.155555507,0.397494344,0.366294128
0.6699507,0.551724106,0.397494344,0.366294128
0.251851805,0.207407369,0.397494344,0.366294128
0.213836414,0.176100576,0.397494344,0.366294128
0,0,0.397494344,0.366294128
0.388571383,0.319999962,0.397494344,0.366294128
0.813397072,0.53588512,0.397494344,0.366294128
0.246376761,0.202898509,0.397494344,0.366294128
0.39766077,0.32748534,0.397494344,0.366294128
0.199999949,0.164705841,0.397494344,0.366294128
0,0,0.397494344,0.366294128
0.189944074,0.156424532,0.397494344,0.366294128
0.352331572,0.290155412,0.397494344,0.366294128
0.199999957,0.164705847,0.397494344,0.366294128
0.236111062,0.194444404,0.397494344,0.366294128
0.280991701,0.23140493,0.397494344,0.366294128
0.208588902,0.171779096,0.397494344,0.366294128
0.60355024,0.331360901,0.397494344,0.366294128
0.2537313,0.208955188,0.397494344,0.366294128
0,0,0.397494344,0.366294128
0.223684153,0.184210479,0.397494344,0.366294128
0.422360184,0.17391299,0.397494344,0.366294128
0,0,0.397494344,0.366294128
0,0,0.397494344,0.366294128
0.228187856,0.187919411,0.397494344,0.366294128
0.242857087,0.199999954,0.397494344,0.366294128
0.317756959,0.261682201,0.397494344,0.366294128
0,0,0.397494344,0.366294128
0,0,0.397494344,0.366294128
0.206060545,0.169696919,0.397494344,0.366294128
0,0,0.397494344,0.366294128
0.159624376,0.131455368,0.397494344,0.366294128
0.225165514,0.185430424,0.397494344,0.366294128
0.193181758,0.15909086,0.397494344,0.366294128
0,0,0.397494344,0.366294128
0.350515413,0.288659751,0.397494344,0.366294128
0.288135538,0.23728809,0.397494344,0.366294128
0.229729695,0.189189161,0.397494344,0.366294128
0,0,0.397494344,0.366294128
0,0,0.397494344,0.366294128
0,0,0.397494344,0.366294128
0.424999954,0.349999962,0.397494344,0.366294128
0.165048501,0.135922295,0.397494344,0.366294128
0.172588799,0.142131952,0.397494344,0.366294128
0.178010398,0.146596798,0.397494344,0.366294128
0.198830339,0.163742632,0.397494344,0.366294128
0.151111059,0.124444402,0.397494344,0.366294128
0.217948658,0.17948713,0.397494344,0.366294128
0,0,0.397494344,0.366294128
0.478873191,0.394366157,0.397494344,0.366294128
0,0,0.397494344,0.366294128
0.21794864,0.179487116,0.397494344,0.366294128
0,0,0.397494344,0.366294128
0.199999938,0.164705831,0.397494344,0.366294128
0,0,0.397494344,0.366294128
0.683417023,0.281406984,0.397494344,0.366294128
0.179894142,0.148148117,0.397494344,0.366294128
0,0,0.397494344,0.366294128
0,0,0.397494344,0.366294128
0,0,0.397494344,0.366294128
0,0,0.397494344,0.366294128
0,0,0.397494344,0.366294128
0,0,0.397494344,0.366294128
0.673267274,0.554455402,0.397494344,0.366294128
0,0,0.397494344,0.366294128
0.551351293,0.454054006,0.397494344,0.366294128
0.219354799,0.180645128,0.397494344,0.366294128
0,0,0.397494344,0.366294128
0.444444407,0.183006505,0.397494344,0.366294128
0.293103376,0.24137925,0.397494344,0.366294128
0,0,0.397494344,0.366294128
0.271999952,0.223999961,0.397494344,0.366294128
0.23129248,0.19047616,0.397494344,0.366294128
0.216560458,0.178343907,0.397494344,0.366294128
0.251851785,0.207407353,0.397494344,0.366294128
0.212499936,0.174999948,0.397494344,0.366294128
0.439655122,0.362068924,0.397494344,0.366294128
0.164251163,0.135265664,0.397494344,0.366294128
0.259541948,0.213740428,0.397494344,0.366294128
0.175257673,0.144329849,0.397494344,0.366294128
0,0,0.397494344,0.366294128
0.435897383,0.358974315,0.397494344,0.366294128
0.373626339,0.307692279,0.397494344,0.366294128
0.208588917,0.171779108,0.397494344,0.366294128
0.55737698,0.459016336,0.397494344,0.366294128
0,0,0.397494344,0.366294128
0.223684151,0.184210478,0.397494344,0.366294128
0,0,0.397494344,0.366294128
0.591304277,0.486956463,0.397494344,0.366294128
0,0,0.397494344,0.366294128
0,0,0.397494344,0.366294128
0.182795666,0.150537608,0.397494344,0.366294128
0.499999952,0.411764666,0.397494344,0.366294128
0.867346885,0.71428567,0.397494344,0.366294128
0.377777737,0.311111078,0.397494344,0.366294128
0,0,0.397494344,0.366294128
0.195402248,0.160919498,0.397494344,0.366294128
0,0,0.397494344,0.366294128
0.499999956,0.41176467,0.397494344,0.366294128
0,0,0.397494344,0.366294128
0.569832342,0.469273694,0.397494344,0.366294128
0.251851805,0.207407369,0.397494344,0.366294128
0.185792314,0.153005435,0.397494344,0.366294128
0,0,0.397494344,0.366294128
0.213836442,0.176100599,0.397494344,0.366294128
0.183783734,0.15135131,0.397494344,0.366294128
0.180851027,0.14893614,0.397494344,0.366294128
0,0,0.397494344,0.366294128
